Population,a0,a1,b0,b1,c0,c1,d0,d1,e0,e1,f0,f1,g0,g1,h0,h1,i0,i1,j0,j1,k0,k1,l0,l1
US31,72,72,85,91,100,100,0,0,0,0,120,120,120,122,141,141,187,187,177,180,232,232,259,259
US34,72,72,81,91,100,100,116,116,0,0,120,120,122,122,141,141,187,187,180,180,235,235,256,256
US36,72,72,85,91,100,100,0,0,0,0,120,120,120,122,141,141,158,187,177,177,232,232,256,256
US37,72,72,81,91,100,100,0,0,0,0,120,120,120,122,141,141,187,187,177,180,235,235,256,256
US39,71,72,85,85,100,100,112,114,120,123,120,120,122,122,141,141,187,187,177,180,232,232,256,259
US40,71,72,89,91,100,100,118,118,0,0,120,120,122,122,141,141,187,187,177,180,232,232,256,259
Pop,,,,,,,,,,,,,,,,,,,,,,,,
VJ01,72,72,81,81,100,100,114,114,0,0,120,120,120,122,141,141,158,187,180,180,232,232,259,259
VJ02,72,72,81,81,100,100,118,118,0,0,120,120,120,134,141,141,158,158,180,180,232,232,256,259
VJ03,72,72,81,81,100,100,114,114,0,0,120,120,122,134,141,141,187,187,180,180,232,232,250,259
VJ05,72,72,81,81,100,100,112,114,0,0,120,120,122,122,141,141,158,158,180,180,232,232,256,259
VJ06,72,72,81,81,100,100,114,114,117,123,120,120,120,122,141,141,154,187,180,180,232,232,250,262
VJ07,72,72,81,93,100,100,112,114,117,123,120,120,120,134,141,141,158,187,180,180,232,232,259,259
VJ08,72,72,81,81,100,100,114,114,117,120,120,120,122,122,141,141,158,187,180,180,232,232,250,259
VJ09,72,72,81,85,100,100,114,114,0,0,120,120,120,120,141,141,154,187,180,180,232,232,0,0
VJ10,72,72,81,81,100,100,114,114,0,0,120,120,120,122,141,141,158,158,180,180,232,232,250,259
VJ11,72,72,81,81,100,100,114,132,0,0,120,120,122,134,141,141,187,187,180,180,232,232,253,260
VJ12,72,72,81,81,100,100,118,118,0,0,120,120,120,122,141,141,158,158,180,180,232,232,253,259
VJ13,72,72,81,81,100,100,114,114,0,0,120,120,120,122,141,141,158,158,180,180,232,232,259,259
VJ15,72,72,81,81,100,100,112,114,120,123,120,120,122,122,141,141,187,187,180,180,232,232,253,259
VJ16,72,72,81,93,100,100,114,114,117,120,120,120,120,122,141,141,154,158,180,180,232,232,259,259
VJ17,72,72,81,93,100,100,118,118,0,0,120,120,120,122,141,141,158,158,180,180,232,232,253,259
VJ18,72,72,81,81,100,100,114,114,0,0,120,120,120,122,141,141,158,158,180,180,232,232,259,259
VJ19,72,72,81,81,100,100,114,114,0,0,120,120,122,134,141,141,158,187,180,180,232,232,259,259
VJ20,72,72,81,81,100,100,114,114,0,0,120,120,120,122,141,141,158,187,180,180,232,232,259,259
VJ21,72,72,81,81,100,100,114,114,0,0,120,120,120,134,141,141,158,187,180,180,232,232,250,253
VJ22,72,72,81,81,100,100,114,114,0,0,120,120,120,120,141,141,158,158,180,180,232,232,256,259
VJ23,72,72,81,81,100,100,114,114,0,0,120,120,120,120,141,141,158,158,180,180,232,232,253,259
VJ24,72,72,81,81,100,100,114,114,120,120,120,120,120,120,141,141,158,158,180,180,232,232,253,253
VJ26,72,72,81,81,100,100,114,114,0,0,120,120,122,134,141,141,158,158,180,180,232,232,253,259
VJ27,72,72,81,93,100,100,114,114,0,0,120,120,120,120,141,141,158,187,180,180,232,232,250,259
VJ28,72,72,81,85,100,100,108,132,0,0,120,120,120,120,141,141,158,187,180,180,232,232,259,259
VJ30,72,72,81,85,100,100,114,114,0,0,120,120,122,122,141,141,158,187,180,180,232,232,253,259
VJ31,72,72,81,93,100,100,112,114,0,0,120,120,120,120,141,141,187,187,180,180,232,232,259,259
VJ32,72,72,81,81,100,100,114,114,0,0,120,120,120,120,141,141,154,187,180,180,232,232,259,262
VJ33,72,72,81,81,100,100,114,114,0,0,120,120,122,134,141,141,158,158,180,180,232,232,256,259
VJ34,72,72,81,81,100,100,112,114,0,0,120,120,120,134,141,141,154,158,180,180,232,232,250,253
VJ35,72,72,81,93,100,100,114,114,0,0,120,120,122,134,141,141,154,187,180,180,232,232,259,259
VJ36,72,72,81,81,100,100,114,132,0,0,120,120,120,122,141,141,158,158,180,180,232,232,253,259
VJ37,72,72,81,81,100,100,112,114,0,0,120,120,122,134,141,141,158,187,180,180,232,232,250,259
Pop,,,,,,,,,,,,,,,,,,,,,,,,
DR02,72,72,81,81,100,100,116,116,0,0,120,120,120,120,141,141,158,158,180,180,232,232,0,0
DR03,72,72,81,81,100,100,112,116,120,120,120,120,122,122,141,141,187,187,180,180,232,235,259,259
DR04,72,72,81,81,100,100,0,0,0,0,120,120,120,122,141,141,158,158,180,180,232,232,250,259
DR05,72,72,81,81,100,100,116,116,0,0,120,120,120,122,141,141,158,187,180,180,232,232,259,259
DR11,72,72,81,81,100,100,0,0,117,120,120,120,120,120,141,141,187,187,180,180,232,232,259,262
