,steps,a1_b1,a1_b2,a1_b3,a1_b4,a1_c1,a1_c2,a1_c3,a1_c4,a1_d1,a1_d2,a1_d3,a1_d4,a2_b1,a2_b2,a2_b3,a2_b4,a2_c1,a2_c2,a2_c3,a2_c4,a2_d1,a2_d2,a2_d3,a2_d4,a3_b1,a3_b2,a3_b3,a3_b4,a3_c1,a3_c2,a3_c3,a3_c4,a3_d1,a3_d2,a3_d3,a3_d4,a4_b1,a4_b2,a4_b3,a4_b4,a4_c1,a4_c2,a4_c3,a4_c4,a4_d1,a4_d2,a4_d3,a4_d4,b1_c1,b1_c2,b1_c3,b1_c4,b1_d1,b1_d2,b1_d3,b1_d4,b2_c1,b2_c2,b2_c3,b2_c4,b2_d1,b2_d2,b2_d3,b2_d4,b3_c1,b3_c2,b3_c3,b3_c4,b3_d1,b3_d2,b3_d3,b3_d4,b4_c1,b4_c2,b4_c3,b4_c4,b4_d1,b4_d2,b4_d3,b4_d4,c1_d1,c1_d2,c1_d3,c1_d4,c2_d1,c2_d2,c2_d3,c2_d4,c3_d1,c3_d2,c3_d3,c3_d4,c4_d1,c4_d2,c4_d3,c4_d4
105,2100.0,0.2116,0.0,0.0,0.2116,0.0,0.5286,0.0,0.0,0.2325,0.5286,0.0209,0.218,0.0209,0.0,0.0209,0.0064,0.2116,0.0,0.0,0.2116,0.2643,0.0,0.0,0.2643,0.5,0.0032,0.0,0.4968,0.0241,0.0032,0.0,0.0209,0.4232,0.0,0.0,0.0,0.0,0.2643,0.0,0.2643,0.4232,0.2852,0.0273,0.2643,0.0,0.0209,0.0273,0.0,0.2325,0.0,0.0,0.2325,0.5286,0.0,0.0,0.5286,0.0209,0.0,0.0,0.0209,0.218,0.0064,0.0,0.2116,0.4232,0.0209,0.0209,0.0,0.0,0.5286,0.0,0.5286,0.0,0.0209,0.0209,0.0,0.4232,0.0,0.0128,0.0,0.2116,0.0,0.0,0.2116,0.0,0.5286,0.0,0.0,0.2325,0.5286,0.0209,0.218,0.0209,0.0,0.0209,0.0064
106,2120.0,0.0,0.3802,0.0,0.0,0.0,0.0,0.0,0.0,0.2895,0.7669,0.0,0.0,0.2817,0.2817,0.0,0.0,0.1901,0.0,0.1901,0.0,0.0,0.0,0.0,0.0,0.1901,0.5712,0.2387,0.0564,0.0,0.5634,0.0,0.0,0.0,0.0,0.3802,0.0,0.0,0.0,0.0,0.0,0.0486,0.0,0.7105,0.2973,0.0,0.0,0.2817,0.2817,0.0,0.5673,0.0,0.0039,0.3802,0.5673,0.4288,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2817,0.2895,0.0486,0.0,1.0907,0.2895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3802,0.0,0.0,0.0,0.0,0.0,0.0,0.2895,0.7669,0.0,0.0,0.2817,0.2817,0.0,0.0
107,2140.0,0.0,0.0324,0.0,0.0324,0.0,0.0,0.0,0.0,0.0122,0.7432,0.4986,0.2446,0.0122,0.2122,0.0,0.2122,0.0,0.0324,0.0324,0.0,0.0,0.0,0.0,0.0,0.7108,0.7493,0.0324,0.0061,0.2122,0.2183,0.0,0.0061,0.0,0.0648,0.0,0.0,0.0,0.0,0.0,0.0,0.2122,0.7817,0.0,0.5047,0.2122,0.2183,0.0,0.0061,0.0,0.0122,0.0,0.0122,0.4615,0.4939,0.0324,0.0,0.2493,0.2493,0.0,0.0,0.2122,0.2446,0.0324,0.0,0.0,0.0122,0.0,0.0122,0.2122,0.5263,0.0,0.2493,0.0,0.2493,0.0,0.2493,0.2122,0.277,0.0,0.0,0.0,0.0324,0.0,0.0324,0.0,0.0,0.0,0.0,0.0122,0.7432,0.4986,0.2446,0.0122,0.2122,0.0,0.2122
108,2160.0,0.0,0.0,0.0,0.5144,0.4228,0.4228,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.0168,0.5144,0.0,0.0,0.2572,0.2572,0.8456,0.0084,0.0,0.0084,0.0,0.0,0.0,0.0,0.0,0.1004,0.2572,0.2656,0.0,0.2572,0.0,0.2572,0.4312,0.4312,0.0,0.0,0.0,0.0,0.0,0.0,0.0544,0.2656,0.046,0.2572,0.4228,0.0,0.0,0.0,0.4228,0.092,0.0,0.0,0.0,0.0168,0.0,0.0168,0.0,0.0,0.5144,0.5144,0.2114,0.2114,0.0,0.0,0.2574,0.2114,0.046,0.0,0.0168,0.0168,0.0,0.0,0.0,0.5144,0.0,0.5144,0.0,0.0,0.0,0.5144,0.4228,0.4228,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.0168,0.5144
109,2180.0,0.0,0.0262,0.0053,0.0315,0.0,0.2615,0.0053,1.0948,0.0,0.0,0.0,0.0,0.0,0.2877,0.0,0.2877,0.0315,0.0262,0.0,0.0053,0.0053,0.0,0.414,0.9423,0.0,0.0,0.0,0.0,0.0262,0.0262,0.0,0.523,0.0262,0.0,0.0262,0.0106,0.2615,0.828,0.0,0.2721,0.0,0.0,0.0,0.0,0.2877,0.0,0.0262,0.2615,0.0,0.0,0.0,0.0,0.0262,0.0262,0.0,0.523,0.0053,0.0,0.0,0.0053,0.0315,0.0262,0.414,0.9423,0.0,0.0,0.0,0.0,0.2877,0.0,0.0262,0.2615,0.0,0.0,0.0,0.0106,0.2877,0.828,0.0262,0.2721,0.0,0.0262,0.0053,0.0315,0.0,0.2615,0.0053,1.0948,0.0,0.0,0.0,0.0,0.0,0.2877,0.0,0.2877
110,2200.0,0.0285,0.2717,0.2682,0.032,0.1998,0.2717,0.468,0.0035,0.1998,0.0,0.1998,0.0,0.0285,0.0,0.0,0.0285,0.2717,0.2717,0.0,0.057,0.2717,0.4715,0.1998,0.0,0.0,0.1998,0.1998,0.0,0.0,0.0,0.0,0.057,0.0035,0.0035,0.5649,0.0285,0.0035,0.0035,0.936,0.0,0.0,0.0,0.3996,0.0,0.0,0.0,0.0285,0.0285,0.0,0.1998,0.1998,0.057,0.2717,0.2717,0.0,0.0,0.2682,0.468,0.1998,0.0,0.0035,0.0035,0.0,0.057,0.0,0.0,0.4281,0.0285,0.0035,0.0035,0.5364,0.0,0.0,0.0,0.936,0.0,0.0035,0.0035,0.0285,0.0285,0.0285,0.2717,0.2682,0.032,0.1998,0.2717,0.468,0.0035,0.1998,0.0,0.1998,0.0,0.0285,0.0,0.0,0.0285
111,2220.0,0.42,0.0,0.0157,0.0157,0.4232,0.0,0.0032,0.0,0.0032,0.5422,0.5611,0.0157,0.0,0.0,0.0,0.0,0.2257,0.21,0.0,0.0157,0.21,0.21,0.0032,0.0032,0.0157,0.0,0.5454,0.5611,0.0,0.0,0.0,0.0,0.2257,0.0,0.21,0.0157,0.21,0.0,0.2164,0.0,0.0157,0.5422,0.5486,0.0157,0.0,0.0,0.0,0.0,0.42,0.42,0.0032,0.0032,0.0,0.0,0.2711,0.2711,0.0157,0.0,0.2743,0.29,0.0157,0.0,0.0,0.0157,0.42,0.0,0.4264,0.0,0.0,0.2711,0.2711,0.0,0.0157,0.2711,0.2775,0.0157,0.0157,0.0,0.0,0.0157,0.42,0.0,0.0157,0.0157,0.4232,0.0,0.0032,0.0,0.0032,0.5422,0.5611,0.0157,0.0,0.0,0.0,0.0
112,2240.0,0.0,0.0,0.2594,0.2594,0.0065,0.0,0.4438,0.0309,0.0065,0.0,0.2594,0.2903,0.0,0.0,0.4438,0.0,0.0,0.2594,0.0,0.2594,0.2406,0.0065,0.0,0.2341,0.0187,0.2659,0.0,0.2716,0.2219,0.0,0.0,0.2219,0.0,0.5188,0.0,0.0,0.2284,0.2341,0.0065,0.0122,0.0065,0.531,0.0065,0.0122,0.2219,0.2219,0.0,0.0,0.0065,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.4438,0.2594,0.0,0.7032,0.0309,0.2659,0.0,0.2838,0.0065,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.4438,0.9626,0.0,0.0,0.0065,0.5432,0.0065,0.0244,0.0,0.0,0.2594,0.2594,0.0065,0.0,0.4438,0.0309,0.0065,0.0,0.2594,0.2903,0.0,0.0,0.4438,0.0
113,2260.0,0.2551,0.2551,0.0,0.0792,0.0,0.0,0.0,0.4418,0.0,0.0168,0.0,0.0,0.2551,0.2551,0.0,0.4418,0.2947,0.0396,0.2551,0.0,0.0,0.4418,0.0,0.0,0.0084,0.0084,0.0,0.0,0.2551,0.4418,0.2551,0.0,0.5498,0.0,0.0396,0.0,0.0,0.2209,0.2209,0.0,0.0084,0.0,0.0084,0.0,0.5102,0.2209,0.2209,0.0,0.2551,0.0,0.2551,0.0,0.2635,0.0084,0.2551,0.0,0.0,0.0,0.0,0.0,0.0396,0.9232,0.0,0.0,0.5102,0.0,0.0,0.0,0.5186,0.0,0.0084,0.0,0.0,0.0,0.0,0.0,0.0396,0.4418,0.4814,0.0,0.2551,0.2551,0.0,0.0792,0.0,0.0,0.0,0.4418,0.0,0.0168,0.0,0.0,0.2551,0.2551,0.0,0.4418
114,2280.0,0.0,0.01,0.0,0.3966,0.5686,0.01,0.0,0.0248,0.0,0.0,0.0,0.3966,0.5686,0.0,0.0,0.0248,0.0,0.0,0.1983,0.2083,0.2719,0.0,0.0248,0.3067,0.0,0.0,0.1983,0.1983,0.2719,0.0,0.0248,0.2967,0.2033,0.1983,0.005,0.0,0.005,0.3215,0.2769,0.0,0.1983,0.1983,0.0,0.0,0.0,0.3215,0.2719,0.0,0.5438,0.0,0.0248,0.5686,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.4214,0.4214,0.0,0.5934,0.5438,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.3966,0.4462,0.0,0.0,0.0,0.01,0.0,0.3966,0.5686,0.01,0.0,0.0248,0.0,0.0,0.0,0.3966,0.5686,0.0,0.0,0.0248
115,2300.0,0.0232,0.0022,0.0232,0.0022,0.0,0.3006,0.2984,0.0022,0.0232,0.2984,0.3216,0.3524,0.0,0.0,0.0,0.3524,0.0022,0.0,0.0254,0.0232,0.0022,0.2984,0.0022,0.2984,0.0,0.4746,0.1994,0.3216,0.0,0.1762,0.1762,0.0,0.0254,0.0,0.0254,0.0,0.0022,0.2984,0.3006,0.0,0.3756,0.2984,0.3216,0.0,0.3524,0.0,0.0,0.0,0.0,0.0,0.0232,0.0232,0.0022,0.2984,0.0022,0.2984,0.0,0.2984,0.0232,0.3216,0.0022,0.3524,0.3546,0.0,0.0232,0.0,0.0232,0.0,0.0022,0.2984,0.3006,0.0,0.0232,0.2984,0.3216,0.0,0.707,0.0,0.0022,0.0,0.0232,0.0022,0.0232,0.0022,0.0,0.3006,0.2984,0.0022,0.0232,0.2984,0.3216,0.3524,0.0,0.0,0.0,0.3524
116,2320.0,0.48,0.0,0.48,0.0,0.1909,0.0,0.2301,0.0,0.0,0.0004,0.0392,0.0004,0.2891,0.0004,0.2891,0.0004,0.2891,0.1909,0.1909,0.2891,0.0196,0.2105,0.1909,0.0,0.02,0.0196,0.0004,0.0,0.2895,0.0,0.0004,0.2891,0.2891,0.2891,0.0,0.3818,0.0,0.0,0.0,0.421,0.0004,0.0004,0.0,0.0392,0.2895,0.2895,0.0,0.0,0.2891,0.1909,0.1909,0.2891,0.0004,0.0,0.0004,0.0,0.3283,0.2301,0.1909,0.2891,0.0004,0.0,0.0004,0.0,0.2891,0.2891,0.0,0.3818,0.0004,0.0004,0.0,0.0,0.2891,0.2891,0.0,0.4602,0.0004,0.0004,0.0,0.0,0.48,0.0,0.48,0.0,0.1909,0.0,0.2301,0.0,0.0,0.0004,0.0392,0.0004,0.2891,0.0004,0.2891,0.0004
117,2340.0,0.0218,0.2942,0.2724,0.0,0.2027,0.0,0.0,0.2027,0.0249,0.2973,0.2724,0.0,0.2058,0.0031,0.0,0.2027,0.0218,0.2942,0.2724,0.0,0.0,0.0,0.4054,0.0,0.0249,0.2942,0.2755,0.0,0.0031,0.0,0.4085,0.0,0.2724,0.0,0.0218,0.2942,0.0,0.2027,0.2027,0.0,0.2724,0.0031,0.0218,0.2973,0.0,0.2058,0.2027,0.0031,0.0249,0.0218,0.4085,0.0,0.0249,0.2942,0.2755,0.0,0.0,0.2724,0.2724,0.0,0.0,0.0,0.4054,0.0,0.0,0.2058,0.2245,0.0249,0.2724,0.0031,0.0218,0.2973,0.2724,0.0,0.0,0.2724,0.0,0.2027,0.2027,0.0,0.0218,0.2942,0.2724,0.0,0.2027,0.0,0.0,0.2027,0.0249,0.2973,0.2724,0.0,0.2058,0.0031,0.0,0.2027
118,2360.0,0.0,0.0812,0.3994,0.0,0.2581,0.3393,0.0016,0.0016,0.2581,0.2581,0.3994,0.0,0.0,0.0,0.0016,0.0016,0.2403,0.2403,0.0,0.0,0.0422,0.0406,0.5178,0.0,0.1997,0.1997,0.5162,0.0,0.0016,0.0,0.0016,0.0,0.1997,0.0406,0.1997,0.0406,0.0016,0.0406,0.0016,0.5568,0.1997,0.0,0.1997,0.5162,0.0016,0.0,0.0016,0.0,0.0,0.0,0.5162,0.0,0.0812,0.0812,0.5162,0.0,0.401,0.3994,0.0016,0.0,0.0016,0.0,0.0016,0.0,0.0,0.0,0.0,0.5162,0.0,0.0812,0.0,0.5974,0.401,0.0,0.401,0.0,0.0016,0.0,0.0016,0.0,0.0,0.0812,0.3994,0.0,0.2581,0.3393,0.0016,0.0016,0.2581,0.2581,0.3994,0.0,0.0,0.0,0.0016,0.0016
119,2380.0,0.2556,0.0548,0.2008,0.0,0.2084,0.0,0.449,0.2406,0.0,0.0,0.2406,0.2406,0.0548,0.0548,0.0,0.0,0.2008,0.0,0.0,0.3104,0.449,0.2482,0.0,0.2008,0.2406,0.2406,0.0,0.0,0.0,0.0,0.0,0.1096,0.0548,0.0548,0.2008,0.2008,0.4812,0.0,0.2084,0.2084,0.4812,0.0,0.0,0.0,0.0548,0.0548,0.0,0.0,0.2046,0.0038,0.0,0.3104,0.0,0.0,0.0,0.1096,0.4452,0.2444,0.0,0.2008,0.2406,0.2406,0.0,0.0,0.0548,0.0548,0.2046,0.2046,0.0548,0.0548,0.0,0.0,0.4812,0.0,0.2046,0.2046,0.4812,0.0,0.0,0.0,0.2556,0.0548,0.2008,0.0,0.2084,0.0,0.449,0.2406,0.0,0.0,0.2406,0.2406,0.0548,0.0548,0.0,0.0
120,2400.0,0.0,0.0,0.0,0.0,0.0,0.1067,0.1067,0.0,0.2534,0.0039,0.2573,0.0,0.2534,0.3826,0.2534,0.3826,0.0,0.0,0.0,0.0,0.1106,0.0,0.1028,0.0,0.0078,0.0,0.2534,0.2534,0.7652,0.0,0.2534,0.2534,0.0,0.0,0.0,0.0,0.1067,0.0,0.1028,0.0039,0.2573,0.2534,0.0,0.0039,0.636,0.636,0.0,0.0,0.0,0.0,0.2534,0.2534,0.4418,0.0,0.0514,0.0,0.0592,0.0,0.3048,0.2534,0.3826,0.0,0.0,0.0,0.2534,0.2534,0.0,0.0,0.2466,0.1913,0.0514,0.0039,0.3087,0.2534,0.0514,0.0039,0.1913,0.1913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1067,0.1067,0.0,0.2534,0.0039,0.2573,0.0,0.2534,0.3826,0.2534,0.3826
121,2420.0,0.0,0.2028,0.0,0.2028,0.0502,0.0,0.0502,0.0,0.0502,0.4847,0.5256,0.0093,0.0,0.2121,0.0,0.2121,0.0,0.0,0.2028,0.2028,0.0,0.0,0.0502,0.0502,0.0,0.494,0.0502,0.5256,0.0,0.0186,0.2028,0.2028,0.0,0.4056,0.0,0.0,0.0,0.1004,0.0,0.0,0.4847,0.5758,0.0093,0.0,0.0093,0.4056,0.0093,0.0,0.0,0.0,0.0502,0.0502,0.0,0.2563,0.2028,0.4405,0.0,0.2377,0.0502,0.2879,0.0,0.0186,0.2028,0.2028,0.0,0.1004,0.0,0.0,0.247,0.6433,0.0093,0.0,0.2377,0.3381,0.0,0.0,0.0093,0.4056,0.0093,0.0,0.0,0.2028,0.0,0.2028,0.0502,0.0,0.0502,0.0,0.0502,0.4847,0.5256,0.0093,0.0,0.2121,0.0,0.2121
122,2440.0,0.2454,0.2454,0.0,0.0,0.6812,0.2454,0.0,0.0604,0.3754,0.0,0.0,0.0,0.0604,0.013,0.013,0.0604,0.2454,0.0,0.0,0.2454,0.3058,0.1877,0.2481,0.2454,0.0,0.1877,0.1877,0.0,0.0604,0.013,0.0604,0.013,0.0,0.0,0.4908,0.0,0.0,0.0604,0.4908,0.4358,0.0,0.0,0.0,0.3754,0.013,0.0604,0.0,0.0734,0.3058,0.3754,0.4358,0.2454,0.2454,0.0065,0.0,0.2519,0.0,0.0065,0.0,0.0065,0.0604,0.0,0.0604,0.0,0.0,0.0604,0.4908,0.8112,0.0065,0.0,0.4908,0.0065,0.0065,0.0,0.0,0.0065,0.0,0.0604,0.0,0.0604,0.2454,0.2454,0.0,0.0,0.6812,0.2454,0.0,0.0604,0.3754,0.0,0.0,0.0,0.0604,0.013,0.013,0.0604
123,2460.0,0.0038,0.0038,0.2026,0.2026,0.0,0.0,0.3555,0.3555,0.0,0.0,0.2317,0.2317,0.0038,0.0038,0.2026,0.2026,0.4052,0.0038,0.0,0.0038,0.3555,0.0,0.3555,0.0,0.2317,0.0,0.2317,0.0,0.4052,0.0038,0.0,0.0038,0.4052,0.0038,0.0,0.0038,0.1238,0.2317,0.1238,0.2317,0.0,0.2317,0.0,0.2317,0.4052,0.0038,0.0,0.0038,0.0,0.0038,0.0,0.0038,0.0,0.0038,0.0,0.0038,0.6988,0.0,0.2936,0.0,0.6988,0.0,0.2936,0.0,0.0,0.0038,0.0,0.0038,0.0,0.0038,0.0,0.0038,0.4671,0.2317,0.0619,0.2317,0.4671,0.2317,0.0619,0.2317,0.0038,0.0038,0.2026,0.2026,0.0,0.0,0.3555,0.3555,0.0,0.0,0.2317,0.2317,0.0038,0.0038,0.2026,0.2026
124,2480.0,0.0,0.0,0.0,0.0,0.0625,0.0501,0.0124,0.0,0.0501,0.4938,0.2364,0.2073,0.0,0.4437,0.2364,0.2073,0.0,0.0,0.0,0.0,0.0501,0.0124,0.0,0.0625,0.0501,0.4146,0.0,0.5229,0.0,0.4146,0.0,0.4728,0.0,0.0,0.0,0.0,0.0,0.0625,0.0501,0.0124,0.0,0.0501,0.5229,0.4146,0.0,0.0,0.4728,0.4146,0.0501,0.0062,0.0,0.0563,0.0501,0.4146,0.0,0.5229,0.0,0.0062,0.0,0.479,0.0,0.4146,0.0,0.0,0.0,0.0563,0.0501,0.0062,0.0,0.0501,0.5229,0.4146,0.0,0.0062,0.4728,0.0062,0.0,0.0,0.0,0.4146,0.0,0.0,0.0,0.0,0.0625,0.0501,0.0124,0.0,0.0501,0.4938,0.2364,0.2073,0.0,0.4437,0.2364,0.2073
125,2500.0,0.0752,0.0,0.0752,0.0,0.0752,0.0,0.0752,0.0,0.4022,0.0,0.4022,0.0,0.8948,0.0,0.0,0.0,0.0589,0.0589,0.0163,0.0163,0.0589,0.0589,0.0163,0.0163,0.0,0.4022,0.4022,0.0,0.0,0.0,0.0,0.8948,0.0326,0.0589,0.0,0.0589,0.0326,0.0589,0.0,0.0589,0.0,0.0,0.8044,0.0,0.4474,0.4474,0.0,0.0,0.0589,0.26,0.2174,0.9111,0.0,0.0,0.0,0.0,0.0589,0.26,0.2174,0.0163,0.0,0.0,0.0,0.0,0.48,0.5063,0.4022,0.0589,0.0,0.0,0.0,0.0,0.0326,0.0589,0.4022,0.0589,0.0,0.0,0.0,0.0,0.0752,0.0,0.0752,0.0,0.0752,0.0,0.0752,0.0,0.4022,0.0,0.4022,0.0,0.8948,0.0,0.0,0.0
126,2520.0,0.0,0.113,0.113,0.0,0.398,0.2245,0.2245,0.0,0.04,0.0,0.04,0.0,0.398,0.2245,0.2245,0.0,0.0,0.0,0.0,0.226,0.199,0.199,0.2245,0.2245,0.0,0.04,0.04,0.0,0.199,0.199,0.2245,0.2245,0.0,0.113,0.0,0.113,0.0,0.0,0.847,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.847,0.0,0.398,0.418,0.02,0.0,0.0,0.0,0.2245,0.3375,0.0,0.02,0.2445,0.3375,0.0,0.0,0.0,0.0,0.0,0.04,0.796,0.0,0.0,0.0565,0.449,0.0565,0.0,0.0965,0.449,0.0565,0.0,0.0,0.0,0.0,0.0,0.113,0.113,0.0,0.398,0.2245,0.2245,0.0,0.04,0.0,0.04,0.0,0.398,0.2245,0.2245,0.0
127,2540.0,0.4178,0.0,0.4178,0.0,0.0164,0.9698,0.0594,0.0,0.0,0.0,0.0,0.0,0.0164,0.043,0.0594,0.0,0.4178,0.0,0.0,0.4178,0.0594,0.4634,0.043,0.4798,0.0,0.0,0.0,0.0,0.0594,0.0,0.043,0.0164,0.0,0.4178,0.4178,0.0,0.4798,0.4634,0.0594,0.043,0.0,0.0,0.0,0.0,0.0164,0.0,0.0594,0.043,0.2253,0.0,0.0,0.2253,0.043,0.4634,0.043,0.4634,0.2683,0.0,0.043,0.2253,0.0,0.0,0.0,0.0,0.0164,0.2089,0.2253,0.0,0.4634,0.4634,0.043,0.043,0.0164,0.2089,0.2683,0.043,0.0,0.0,0.0,0.0,0.4178,0.0,0.4178,0.0,0.0164,0.9698,0.0594,0.0,0.0,0.0,0.0,0.0,0.0164,0.043,0.0594,0.0
128,2560.0,0.2772,0.0967,0.3836,0.2863,0.0,0.0,0.0,0.0,0.0,0.0529,0.0,0.0529,0.2334,0.0,0.3836,0.2334,0.3392,0.2356,0.2772,0.1918,0.0,0.0,0.0,0.0,0.1058,0.0,0.0,0.0,0.2334,0.1918,0.2334,0.1918,0.0529,0.4252,0.0967,0.469,0.0,0.0,0.0,0.0,0.0529,0.0,0.0529,0.0,0.0,0.4252,0.0,0.4252,0.2334,0.0219,0.2553,0.0,0.1058,0.0219,0.0219,0.0,0.0,0.3836,0.0,0.3836,0.3392,0.0,0.2334,0.0,0.0,0.2334,0.0219,0.2553,0.0529,0.0,0.0748,0.0219,0.0,0.3836,0.0,0.3836,0.0529,0.2334,0.0529,0.2334,0.2772,0.0967,0.3836,0.2863,0.0,0.0,0.0,0.0,0.0,0.0529,0.0,0.0529,0.2334,0.0,0.3836,0.2334
129,2580.0,0.0322,0.0511,0.0,0.0833,0.4167,0.4167,0.0,0.0,0.2151,0.234,0.0,0.0833,0.2338,0.2338,0.0,0.0,0.0511,0.0,0.0833,0.0322,0.2338,0.0,0.3658,0.2338,0.0511,0.0,0.4491,0.0322,0.2338,0.0,0.0,0.2338,0.0322,0.0,0.0511,0.0833,0.1829,0.2338,0.1829,0.2338,0.2151,0.0,0.234,0.0833,0.0,0.2338,0.0,0.2338,0.2338,0.0,0.398,0.266,0.2849,0.0,0.4169,0.2338,0.0,0.0,0.0,0.0,0.0511,0.0,0.0833,0.0322,0.2151,0.2338,0.1829,0.266,0.1829,0.2338,0.234,0.2849,0.0,0.0,0.0,0.0,0.0322,0.0,0.0511,0.0833,0.0322,0.0511,0.0,0.0833,0.4167,0.4167,0.0,0.0,0.2151,0.234,0.0,0.0833,0.2338,0.2338,0.0,0.0
130,2600.0,0.0,0.4732,0.0,0.0,0.1801,0.1052,0.2853,0.0,0.0614,0.0,0.0,0.0,0.2415,0.4732,0.1801,0.0,0.0,0.0,0.2366,0.2366,0.1052,0.1801,0.1052,0.1801,0.0307,0.0,0.0307,0.0,0.0307,0.1801,0.2673,0.4167,0.2366,0.2366,0.0,0.0,0.1801,0.0,0.1052,0.2853,0.0,0.0307,0.0307,0.0,0.4167,0.2673,0.0307,0.1801,0.0614,0.1801,0.0614,0.1801,0.0526,0.0,0.5258,0.4732,0.0526,0.1801,0.0526,0.1801,0.0,0.0,0.0,0.0,0.1801,0.0614,0.0614,0.1801,0.4732,0.4732,0.0526,0.0526,0.1801,0.0,0.0526,0.2327,0.0,0.0,0.0,0.0,0.0,0.4732,0.0,0.0,0.1801,0.1052,0.2853,0.0,0.0614,0.0,0.0,0.0,0.2415,0.4732,0.1801,0.0
131,2620.0,0.1828,0.0,0.5335,0.2373,0.206,0.0,0.2962,0.0232,0.0,0.0,0.2373,0.2373,0.0232,0.0,0.0,0.0232,0.6029,0.0567,0.0567,0.2373,0.3888,0.0799,0.0567,0.0,0.2373,0.0,0.0,0.2373,0.0232,0.0232,0.0,0.0,0.0,0.4201,0.1134,0.4201,0.0232,0.1828,0.1366,0.1828,0.0,0.2373,0.0,0.2373,0.0232,0.0,0.0232,0.0,0.3888,0.0232,0.0,0.0,0.0,0.0,0.0,0.0,0.6029,0.1134,0.1134,0.2373,0.2605,0.0232,0.0,0.2373,0.0232,0.1828,0.0232,0.1828,0.0,0.0,0.0,0.0,0.0,0.4201,0.2268,0.4201,0.0232,0.2373,0.0232,0.2373,0.1828,0.0,0.5335,0.2373,0.206,0.0,0.2962,0.0232,0.0,0.0,0.2373,0.2373,0.0232,0.0,0.0,0.0232
132,2640.0,0.2973,0.0,0.0181,0.7556,0.0181,0.0,0.0181,0.0,0.0,0.0,0.0,0.0,0.0,0.8928,0.0,0.0,0.0,0.1577,0.3959,0.5174,0.0,0.0181,0.0181,0.0,0.0,0.0,0.0,0.0,0.0,0.4464,0.4464,0.0,0.0181,0.3778,0.2973,0.3778,0.0181,0.0,0.0181,0.0,0.0,0.0,0.0,0.0,0.4464,0.0,0.0,0.4464,0.0,0.1577,0.0181,0.1396,0.0,0.4464,0.4464,0.0,0.0,0.0181,0.0181,0.0,0.0,0.0,0.3778,0.3778,0.0181,0.0,0.2973,0.0,0.4464,0.0,0.0,0.4464,0.0181,0.0,0.0181,0.0,0.0,0.3778,0.0,0.3778,0.2973,0.0,0.0181,0.7556,0.0181,0.0,0.0181,0.0,0.0,0.0,0.0,0.0,0.0,0.8928,0.0,0.0
133,2660.0,0.2011,0.0,0.0,0.2011,0.2011,0.0629,0.0,0.264,0.0099,0.0099,0.0,0.0,0.4621,0.0728,0.0,0.5151,0.4022,0.0,0.0,0.0,0.4022,0.0629,0.0,0.0629,0.0,0.0,0.0,0.0198,0.4522,0.0629,0.0,0.5349,0.2011,0.0,0.0,0.2011,0.3269,0.0,0.0,0.2011,0.0,0.0099,0.0099,0.0,0.1258,0.0099,0.0099,0.9044,0.6283,0.0,0.0,0.2459,0.0,0.0629,0.0,0.0827,0.0,0.0,0.0,0.0,0.6283,0.0629,0.0,0.289,0.2011,0.0099,0.0099,0.6533,0.1258,0.0099,0.0099,0.0,0.0,0.0,0.0,0.0,0.3269,0.0,0.0,0.6533,0.2011,0.0,0.0,0.2011,0.2011,0.0629,0.0,0.264,0.0099,0.0099,0.0,0.0,0.4621,0.0728,0.0,0.5151
134,2680.0,0.0,0.4356,0.2773,0.7129,0.0,0.0,0.206,0.206,0.0,0.0,0.0762,0.0762,0.0,0.0,0.0049,0.0049,0.0713,0.4356,0.9189,0.0,0.0,0.0,0.412,0.0,0.0762,0.0,0.0713,0.0049,0.0049,0.0,0.0,0.0049,0.1426,0.6416,0.6416,0.0,0.0,0.206,0.206,0.0,0.1426,0.0049,0.0,0.0049,0.0,0.0049,0.0,0.0049,0.0,0.0,0.0,0.0,0.0,0.2178,0.2178,0.0,0.0762,0.0,0.4833,0.0049,0.0762,0.2178,0.7011,0.0049,0.0,0.0,0.0,0.0,0.0,0.2178,0.2178,0.0,0.1426,0.2109,0.206,0.0049,0.1426,0.4287,0.4238,0.0049,0.0,0.4356,0.2773,0.7129,0.0,0.0,0.206,0.206,0.0,0.0,0.0762,0.0762,0.0,0.0,0.0049,0.0049
