,steps,a1_b1,a1_b2,a1_b3,a1_b4,a1_c1,a1_c2,a1_c3,a1_c4,a1_d1,a1_d2,a1_d3,a1_d4,a2_b1,a2_b2,a2_b3,a2_b4,a2_c1,a2_c2,a2_c3,a2_c4,a2_d1,a2_d2,a2_d3,a2_d4,a3_b1,a3_b2,a3_b3,a3_b4,a3_c1,a3_c2,a3_c3,a3_c4,a3_d1,a3_d2,a3_d3,a3_d4,a4_b1,a4_b2,a4_b3,a4_b4,a4_c1,a4_c2,a4_c3,a4_c4,a4_d1,a4_d2,a4_d3,a4_d4,b1_c1,b1_c2,b1_c3,b1_c4,b1_d1,b1_d2,b1_d3,b1_d4,b2_c1,b2_c2,b2_c3,b2_c4,b2_d1,b2_d2,b2_d3,b2_d4,b3_c1,b3_c2,b3_c3,b3_c4,b3_d1,b3_d2,b3_d3,b3_d4,b4_c1,b4_c2,b4_c3,b4_c4,b4_d1,b4_d2,b4_d3,b4_d4,c1_d1,c1_d2,c1_d3,c1_d4,c2_d1,c2_d2,c2_d3,c2_d4,c3_d1,c3_d2,c3_d3,c3_d4,c4_d1,c4_d2,c4_d3,c4_d4
23,460.0,0.0644,0.1468,0.1783,0.1175,0.0142,0.1215,0.2853,0.1474,0.1082,0.2586,0.1801,0.0001,0.0142,0.1691,0.1643,0.03,0.2957,0.0718,0.1395,0.0,0.2604,0.1613,0.0436,0.1031,0.1448,0.1451,0.2036,0.0535,0.0583,0.2098,0.0961,0.0134,0.0108,0.1361,0.2427,0.1174,0.0978,0.16,0.1662,0.1444,0.1261,0.2382,0.1827,0.0,0.0991,0.1373,0.0352,0.106,0.0,0.0368,0.1423,0.0219,0.1192,0.2591,0.2461,0.0716,0.4052,0.262,0.0777,0.0631,0.2348,0.0301,0.0167,0.0134,0.0,0.0863,0.1011,0.0136,0.1341,0.3465,0.1759,0.0395,0.1665,0.2387,0.2189,0.1839,0.0332,0.0001,0.1309,0.1308,0.0644,0.1468,0.1783,0.1175,0.0142,0.1215,0.2853,0.1474,0.1082,0.2586,0.1801,0.0001,0.0142,0.1691,0.1643,0.03
24,480.0,0.0334,0.0297,0.0418,0.0589,0.3296,0.3521,0.1522,0.0761,0.014,0.1088,0.0894,0.0632,0.0806,0.2148,0.208,0.1474,0.0,0.1364,0.0112,0.0162,0.1878,0.2617,0.3127,0.1478,0.0579,0.0149,0.1315,0.0711,0.3019,0.12,0.0604,0.1685,0.0647,0.0701,0.0178,0.0112,0.0764,0.0969,0.5935,0.1432,0.0745,0.0815,0.0053,0.1141,0.0734,0.2527,0.1242,0.2005,0.0662,0.1486,0.1603,0.0825,0.1927,0.1694,0.224,0.1193,0.1294,0.0875,0.0832,0.1913,0.1593,0.1275,0.0483,0.0105,0.025,0.0311,0.3129,0.0886,0.0887,0.1701,0.2895,0.1571,0.1216,0.1176,0.0772,0.175,0.0537,0.1824,0.0612,0.0483,0.0334,0.0297,0.0418,0.0589,0.3296,0.3521,0.1522,0.0761,0.014,0.1088,0.0894,0.0632,0.0806,0.2148,0.208,0.1474
25,500.0,0.323,0.0918,0.1102,0.0814,0.2935,0.0675,0.1499,0.0959,0.0439,0.0085,0.1678,0.1482,0.0514,0.1038,0.1699,0.0933,0.1401,0.1468,0.1679,0.1516,0.1935,0.1139,0.0956,0.2038,0.1796,0.0118,0.1724,0.0046,0.044,0.1447,0.0579,0.1718,0.1318,0.161,0.0768,0.2368,0.1898,0.2075,0.1139,0.0956,0.1711,0.0131,0.0347,0.1495,0.1389,0.0914,0.06,0.1281,0.264,0.0993,0.2681,0.0804,0.044,0.1273,0.0085,0.0918,0.0996,0.0494,0.149,0.2998,0.1496,0.1412,0.0682,0.0598,0.1581,0.2764,0.0707,0.2066,0.0335,0.074,0.036,0.1281,0.2904,0.0579,0.1728,0.0767,0.1496,0.0647,0.0059,0.1986,0.323,0.0918,0.1102,0.0814,0.2935,0.0675,0.1499,0.0959,0.0439,0.0085,0.1678,0.1482,0.0514,0.1038,0.1699,0.0933
26,520.0,0.2581,0.002,0.0353,0.0886,0.0729,0.0337,0.319,0.2284,0.2225,0.0109,0.0725,0.1453,0.1505,0.0346,0.1984,0.1273,0.0561,0.2019,0.124,0.002,0.327,0.2364,0.0,0.0906,0.087,0.1313,0.1234,0.1095,0.1215,0.0706,0.1206,0.1981,0.0533,0.1333,0.0353,0.1621,0.0,0.4568,0.0337,0.1635,0.1828,0.1333,0.1206,0.0145,0.1295,0.0,0.1816,0.1997,0.1478,0.2153,0.2124,0.1285,0.0406,0.004,0.0,0.0366,0.2137,0.1848,0.0636,0.1631,0.1895,0.2361,0.092,0.072,0.1369,0.2113,0.0896,0.2662,0.0109,0.002,0.0297,0.0386,0.0725,0.2284,0.1246,0.1997,0.1453,0.2817,0.1273,0.0353,0.2581,0.002,0.0353,0.0886,0.0729,0.0337,0.319,0.2284,0.2225,0.0109,0.0725,0.1453,0.1505,0.0346,0.1984,0.1273
27,540.0,0.2195,0.002,0.1316,0.0899,0.259,0.142,0.0,0.0,0.1849,0.1527,0.1098,0.0268,0.111,0.2751,0.1712,0.1245,0.052,0.3243,0.0647,0.002,0.0585,0.2756,0.0669,0.0,0.126,0.1111,0.2371,0.0,0.0703,0.1722,0.3759,0.0634,0.004,0.099,0.1584,0.1816,0.1921,0.0,0.0106,0.1983,0.1661,0.0,0.1795,0.1286,0.116,0.1604,0.2765,0.1289,0.2099,0.3331,0.2314,0.0,0.0449,0.2476,0.2773,0.002,0.0,0.2414,0.1405,0.0307,0.052,0.0611,0.0954,0.0327,0.1838,0.099,0.1441,0.3475,0.1806,0.0,0.2171,0.1741,0.1098,0.0307,0.2063,0.0658,0.004,0.1297,0.0575,0.05,0.2195,0.002,0.1316,0.0899,0.259,0.142,0.0,0.0,0.1849,0.1527,0.1098,0.0268,0.111,0.2751,0.1712,0.1245
28,560.0,0.223,0.1041,0.0305,0.0928,0.2326,0.0,0.0245,0.1167,0.194,0.1691,0.3935,0.0582,0.1472,0.0748,0.1021,0.0369,0.0369,0.0981,0.0305,0.2849,0.008,0.0405,0.0933,0.232,0.079,0.1563,0.1007,0.4788,0.1079,0.0405,0.1021,0.1105,0.0369,0.1302,0.1808,0.1025,0.0608,0.0834,0.1335,0.0961,0.2214,0.2353,0.1721,0.186,0.1079,0.1785,0.069,0.0056,0.0529,0.2054,0.0992,0.4393,0.071,0.0981,0.0721,0.1068,0.071,0.0028,0.1249,0.3519,0.0369,0.0291,0.0304,0.2082,0.0673,0.3261,0.2025,0.2009,0.071,0.1729,0.0038,0.1003,0.2214,0.0993,0.2004,0.0295,0.0673,0.0291,0.1487,0.0595,0.223,0.1041,0.0305,0.0928,0.2326,0.0,0.0245,0.1167,0.194,0.1691,0.3935,0.0582,0.1472,0.0748,0.1021,0.0369
29,580.0,0.1484,0.0784,0.0694,0.0058,0.1131,0.1189,0.0,0.0058,0.1523,0.6044,0.025,0.0543,0.1452,0.2543,0.2064,0.0183,0.1019,0.0744,0.0227,0.103,0.1131,0.0116,0.1131,0.0,0.3747,0.0,0.3715,0.0898,0.2255,0.0628,0.1495,0.1864,0.1256,0.0375,0.1225,0.0164,0.0,0.0116,0.1131,0.1131,0.025,0.1731,0.1674,0.4705,0.1506,0.153,0.1408,0.1798,0.1797,0.0,0.1765,0.2028,0.4855,0.0744,0.4063,0.0898,0.132,0.0628,0.056,0.05,0.018,0.0116,0.018,0.0366,0.0,0.0486,0.3761,0.1343,0.1506,0.1847,0.1314,0.5893,0.1506,0.112,0.0,0.0382,0.0,0.0299,0.0363,0.018,0.1484,0.0784,0.0694,0.0058,0.1131,0.1189,0.0,0.0058,0.1523,0.6044,0.025,0.0543,0.1452,0.2543,0.2064,0.0183
30,600.0,0.1244,0.1104,0.0878,0.0,0.047,0.1236,0.2207,0.1297,0.2686,0.1636,0.3785,0.1421,0.0,0.0956,0.0956,0.0124,0.0,0.0326,0.1104,0.1796,0.1445,0.0326,0.1767,0.1672,0.2141,0.331,0.2219,0.1858,0.0194,0.0256,0.0,0.1586,0.0918,0.0326,0.1656,0.0326,0.0834,0.405,0.0,0.0326,0.3022,0.4712,0.178,0.0014,0.0956,0.0762,0.0318,0.0,0.0,0.195,0.1392,0.1058,0.1015,0.0437,0.1104,0.2376,0.1468,0.1707,0.1297,0.3354,0.1297,0.0124,0.1297,0.0124,0.1867,0.1282,0.0918,0.0333,0.2059,0.1665,0.0875,0.0333,0.1804,0.4309,0.1713,0.0,0.0,0.2594,0.0248,0.0,0.1244,0.1104,0.0878,0.0,0.047,0.1236,0.2207,0.1297,0.2686,0.1636,0.3785,0.1421,0.0,0.0956,0.0956,0.0124
31,620.0,0.0768,0.0,0.0322,0.1658,0.1468,0.1513,0.134,0.1727,0.0246,0.1581,0.0306,0.1609,0.3838,0.3104,0.0078,0.0442,0.0782,0.0634,0.0322,0.101,0.2714,0.031,0.134,0.1684,0.1658,0.0063,0.0948,0.1073,0.325,0.0829,0.082,0.2563,0.0228,0.0782,0.0322,0.1416,0.0216,0.1513,0.4054,0.0265,0.0273,0.1643,0.1026,0.08,0.1077,0.2284,0.3372,0.0729,0.2374,0.1098,0.0228,0.262,0.3064,0.0113,0.149,0.1531,0.0779,0.0094,0.0945,0.0228,0.2187,0.0531,0.0767,0.1951,0.1134,0.1486,0.2602,0.1098,0.0045,0.3049,0.3086,0.0018,0.0228,0.0078,0.1646,0.0094,0.0387,0.1609,0.144,0.2,0.0768,0.0,0.0322,0.1658,0.1468,0.1513,0.134,0.1727,0.0246,0.1581,0.0306,0.1609,0.3838,0.3104,0.0078,0.0442
32,640.0,0.0347,0.0897,0.2221,0.1155,0.0164,0.0,0.1568,0.0528,0.0347,0.1572,0.0607,0.2324,0.0174,0.3961,0.2712,0.1423,0.1264,0.0696,0.1614,0.1046,0.0164,0.0438,0.0,0.1658,0.0569,0.2962,0.0833,0.0486,0.1031,0.456,0.0781,0.1898,0.319,0.1108,0.02,0.0122,0.1932,0.0,0.0164,0.0164,0.0752,0.1151,0.0078,0.2869,0.1572,0.3501,0.0164,0.3033,0.0511,0.0005,0.0347,0.0169,0.0983,0.3804,0.0781,0.0862,0.1109,0.1816,0.1267,0.2916,0.0425,0.3031,0.0833,0.1141,0.0699,0.0005,0.0164,0.0164,0.1678,0.1883,0.0,0.2869,0.3842,0.2817,0.0242,0.0207,0.1227,0.1055,0.02,0.2948,0.0347,0.0897,0.2221,0.1155,0.0164,0.0,0.1568,0.0528,0.0347,0.1572,0.0607,0.2324,0.0174,0.3961,0.2712,0.1423
